country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4k,13.7k,17k,20.1k,21.8k,23.9k,24.9k,26.3k,28.6k,29.1k,29.3k,31.6k,34k,33.8k,36.4k,35.9k,34k,36.3k,39.1k,33.1k,41.2k,39.4k,46.4k,42.5k,39.6k,40.4k,42.2k,44.5k,46.4k,48.7k,48.6k,49.6k,50.6k,,
Afghanistan,2750,2750,2680,3620,3770,4640,6320,7390,5930,5940,7190,7330,6220,6580,7980,8570,9080,10.3k,11.4k,12.3k,12.3k,13.3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5k,24.9k,28.2k,33.1k,35.4k,35.3k,35.9k,34.9k,35.9k,36.1k,39.2k,40.1k
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,20µ,20µ,20µ,20µ,30µ,30µ,60µ,0.00013,0.00126,0.022,0.928,44.9,104,142,841,4560,9600,33.9k,66.2k,93.8k,148k,184k,212k,259k,224k,298k,396k,447k,470k,499k,475k,544k,638k,768k,939k,940k
Albania,,,,,,,,,,,,,,,,,,,,,,,,,5500,5490,5550,5400,5220,5580,4930,4750,14.3k,38.6k,55.9k,70.8k,108k,108k,127k,146k,167k,190k,205k,229k,249k,272k,300k,334k,369k,385k,421k,448k,456k,474k,487k,504k,520k,541k,570k,585k,560k
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128k,121k,117k,123k,134k,147k,157k,159k,165k,119k,124k,144k,151k,156k,161k,143k,141k,150k,162k,158k,133k
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10µ,30µ,70µ,0.00014,0.00026,0.00071,0.00353,0.0252,0.166,0.311,0.713,3.35,92.5,2020,5300,6630,6870,7380,7270,7570,8040,8080,7570,7500,7000,7870,9470,11.2k,13.3k,17.6k,22k,28k,29.9k,39.3k,51.3k,61.6k,77.4k,105k,135k,185k,236k,320k,466k,590k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,22.7,75.3,1250,56.8k,167k,215k,272k,317k,329k,346k,397k,465k,556k,662k,784k,940k,1.13M,1.3M,1.13M,1.26M,1.36M,1.54M,1.67M,1.73M,1.79M,1.77M,1.96M,2.07M,2.24M,2.05M
American Samoa,,,,,,,,,,,,,,2600,2600,2250,2250,2570,2710,3320,3900,4130,4320,4560,4700,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,3360,3810,4680,5680,6370,7020,7920,9090,10.4k,11.1k,13k,16k,17.1k,17.9k,19.2k,19.7k,21k,22.6k,21.6k,23.4k,24.8k,26.1k,26.9k,27.8k,27.1k,26.7k,27.8k,29.4k,32.5k,36.3k,40.5k,41.4k,36.7k,34.4k,33.4k,34.7k,33.7k,34.7k,36.1k,38.3k,39.3k,42.8k,44k,37.1k
Australia,1620,1670,1660,1750,1900,2040,2090,2290,2410,2630,2920,3090,3370,3730,4380,5140,5940,6730,7230,8080,9070,10.2k,11.4k,12.2k,13.6k,14.7k,16k,17.3k,19.3k,21.3k,22.9k,23k,23.2k,24.5k,25.5k,26.5k,27.8k,29k,30.5k,31.8k,33.6k,35.4k,37.4k,39.2k,41.7k,43.7k,46.4k,49.9k,53.2k,56.1k,56.8k,60.9k,64k,64.8k,66.3k,66.8k,66.9k,69.6k,71.5k,74.3k,75.5k
